ano,sigla_uf,id_municipio,tempo_medio_deslocamento,prop_deslocamento_acima_1_hora
2010,RO,1100205,28,7
2010,AC,1200401,26,5
2010,PA,1202400,21,3
2010,PA,1206500,25,7
2010,AM,1302603,41,17
2010,RR,1400100,33,11
2010,PA,1500800,42,21.32944
2010,PA,1501402,33,3
2010,PA,1501501,38,22.5799663
2010,PA,1504422,40,20.7157491
2010,PA,1506351,32,16.7735317
2010,AP,1600303,24,4
2010,TO,1721000,26,5
2010,MA,2111300,38,14
2010,PI,2211001,28,6
2010,CE,2301000,23,4.0667786
2010,CE,2303501,23,5.0290681
2010,CE,2303709,36,14.9528542
2010,CE,2303956,24,5.675786
2010,CE,2304285,25,5.2245707
2010,CE,2304400,35,13
2010,CE,2304954,26,8.5052632
2010,CE,2305233,21,2.7693226
2010,CE,2306256,34,13.6139257
2010,CE,2307650,33,12.4648533
2010,CE,2307700,28,8.0139248
2010,CE,2309607,21,2.9495765
2010,CE,2309706,34,13.556241
2010,CE,2310209,23,4
2010,CE,2310258,19,3
2010,CE,2310852,21,5.0640168
2010,CE,2312403,23,4.1527187
2010,CE,2312601,19,4
2010,CE,2313500,19,3
2010,RN,2408102,32,9
2010,PB,2507507,30,7
2010,PE,2600054,45,27
2010,PE,2601052,37,17
2010,PE,2602902,35,11
2010,PE,2603454,46,25
2010,PE,2606200,25,7
2010,PE,2606804,39,20
2010,PE,2607208,28,7
2010,PE,2607604,33,17
2010,PE,2607752,36,19
2010,PE,2607901,43,21
2010,PE,2609402,46,31
2010,PE,2609600,40,16
2010,PE,2610707,46,26
2010,PE,2611606,35,11
2010,PE,2613701,52,39
2010,AL,2704302,36,13
2010,SE,2800308,31,8
2010,BA,2905701,30,9.2257133
2010,BA,2906501,27,5.1572484
2010,BA,2910057,30,9.511471
2010,BA,2916104,30,12.0796156
2010,BA,2919207,38,16.2494838
2010,BA,2919926,29,9.2616034
2010,BA,2921005,33,12.2287781
2010,BA,2925204,24,3.9038295
2010,BA,2927408,44,22
2010,BA,2929206,25,7.1623838
2010,BA,2929503,32,11.641791
2010,BA,2930709,36,15.5893318
2010,BA,2933208,29,11.9671383
2010,MG,3104502,21,5
2010,MG,3105004,25,7
2010,MG,3106200,39,17
2010,MG,3106705,38,17
2010,MG,3109006,33,11
2010,MG,3109303,22,7
2010,MG,3109451,28,10
2010,MG,3110004,39,20
2010,MG,3112505,29,7
2010,MG,3117876,21,2
2010,MG,3118601,41,19
2010,MG,3124104,47,29
2010,MG,3126000,23,5
2010,MG,3129806,54,36
2010,MG,3130101,33,14
2010,MG,3132206,21,2
